iter	Passed	Remaining
0	1	117
1	2	104
2	3	111
3	4	107
4	5	104
5	6	100
6	7	95
7	8	93
8	8	89
9	9	88
10	10	86
11	11	85
12	12	84
13	13	84
14	14	83
15	15	83
16	16	81
17	17	78
18	18	77
19	19	77
20	20	76
21	21	74
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	39
58	56	38
59	56	37
60	57	36
61	58	36
62	60	35
63	60	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	29
70	68	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	77	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	83	13
86	84	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
