iter	Passed	Remaining
0	126	126125
1	130	64876
2	132	44053
3	135	33689
4	138	27555
5	141	23508
6	144	20550
7	147	18294
8	150	16547
9	153	15170
10	156	14027
11	159	13129
12	161	12292
13	164	11593
14	166	10957
15	169	10412
16	173	10055
17	176	9611
18	178	9230
19	180	8864
20	183	8542
21	185	8240
22	187	7976
23	190	7727
24	192	7511
25	195	7308
26	197	7109
27	200	6954
28	203	6804
29	205	6636
30	208	6506
31	211	6384
32	213	6259
33	216	6148
34	218	6029
35	220	5914
36	223	5817
37	226	5722
38	229	5660
39	232	5579
40	234	5493
41	237	5408
42	239	5323
43	240	5231
44	242	5145
45	244	5066
46	246	5001
47	248	4924
48	250	4857
49	252	4789
50	253	4725
51	255	4657
52	257	4605
53	259	4543
54	260	4483
55	262	4417
56	264	4377
57	266	4324
58	267	4272
59	269	4225
60	271	4174
61	273	4131
62	274	4088
63	276	4040
64	277	3993
65	279	3952
66	280	3912
67	282	3870
68	283	3829
69	285	3789
70	286	3748
71	287	3709
72	289	3672
73	290	3640
74	292	3602
75	293	3566
76	294	3531
77	295	3498
78	297	3468
79	299	3440
80	300	3414
81	302	3386
82	303	3350
83	304	3323
84	306	3295
85	307	3268
86	308	3238
87	310	3216
88	311	3193
89	313	3166
90	315	3147
91	316	3121
92	317	3099
93	319	3082
94	321	3062
95	322	3040
96	324	3018
97	325	2997
98	327	2980
99	328	2959
100	329	2936
101	331	2916
102	332	2895
103	333	2874
104	334	2853
105	335	2831
106	337	2812
107	338	2792
108	340	2783
109	342	2768
110	343	2749
111	344	2732
112	345	2715
113	347	2699
114	349	2687
115	350	2670
116	351	2654
117	353	2643
118	355	2629
119	356	2616
120	358	2604
121	359	2589
122	361	2576
123	363	2565
124	364	2553
125	366	2542
126	367	2527
127	369	2518
128	371	2508
129	372	2496
130	374	2484
131	376	2473
132	377	2460
133	378	2448
134	380	2437
135	381	2423
136	382	2411
137	384	2400
138	385	2390
139	387	2381
140	389	2372
141	390	2358
142	391	2348
143	393	2341
144	395	2333
145	397	2322
146	398	2314
147	400	2303
148	402	2296
149	403	2288
150	406	2283
151	407	2274
152	409	2267
153	410	2256
154	412	2248
155	414	2240
156	415	2233
157	417	2226
158	419	2218
159	420	2208
160	421	2198
161	423	2192
162	425	2185
163	427	2176
164	429	2171
165	430	2162
166	431	2154
167	433	2147
168	435	2140
169	436	2132
170	438	2124
171	439	2116
172	440	2107
173	442	2100
174	444	2093
175	445	2086
176	447	2079
177	448	2071
178	450	2064
179	452	2061
180	454	2054
181	455	2048
182	457	2041
183	458	2034
184	460	2028
185	461	2020
186	463	2014
187	465	2008
188	466	2000
189	467	1993
190	469	1988
191	471	1983
192	473	1978
193	475	1974
194	476	1967
195	478	1961
196	479	1954
197	481	1950
198	482	1943
199	484	1937
200	487	1936
201	488	1929
202	489	1923
203	491	1917
204	492	1911
205	494	1905
206	496	1900
207	498	1898
208	500	1892
209	501	1886
210	503	1880
211	504	1875
212	506	1870
213	508	1868
214	510	1863
215	512	1858
216	513	1853
217	515	1847
218	516	1841
219	517	1835
220	519	1831
221	521	1826
222	522	1821
223	524	1816
224	526	1812
225	527	1807
226	529	1804
227	531	1799
228	533	1794
229	534	1790
230	536	1785
231	537	1779
232	539	1774
233	540	1769
234	542	1765
235	543	1760
236	545	1755
237	546	1750
238	548	1745
239	549	1739
240	550	1734
241	552	1729
242	553	1725
243	555	1720
244	556	1715
245	558	1712
246	560	1709
247	562	1705
248	564	1701
249	565	1696
250	566	1691
251	568	1686
252	569	1681
253	570	1676
254	572	1672
255	573	1667
256	575	1663
257	576	1657
258	577	1653
259	579	1648
260	580	1643
261	582	1639
262	583	1636
263	586	1633
264	587	1629
265	589	1626
266	591	1624
267	593	1620
268	594	1616
269	596	1612
270	597	1608
271	599	1604
272	601	1601
273	602	1596
274	604	1593
275	605	1588
276	607	1585
277	609	1581
278	610	1577
279	612	1575
280	614	1571
281	616	1568
282	617	1565
283	619	1561
284	620	1557
285	622	1554
286	624	1550
287	625	1547
288	627	1544
289	629	1540
290	630	1536
291	631	1531
292	633	1527
293	634	1523
294	635	1519
295	637	1515
296	638	1512
297	640	1508
298	641	1504
299	643	1501
300	645	1497
301	646	1494
302	647	1489
303	649	1486
304	650	1482
305	651	1477
306	652	1473
307	654	1470
308	655	1466
309	657	1462
310	658	1459
311	660	1455
312	662	1453
313	664	1451
314	666	1448
315	668	1445
316	669	1443
317	671	1439
318	672	1435
319	673	1431
320	674	1426
321	675	1422
322	676	1418
323	678	1415
324	679	1411
325	680	1407
326	681	1403
327	683	1400
328	685	1398
329	687	1395
330	688	1391
331	689	1386
332	690	1382
333	692	1380
334	693	1376
335	695	1373
336	696	1369
337	697	1365
338	698	1362
339	699	1358
340	700	1354
341	702	1350
342	703	1346
343	704	1343
344	705	1339
345	707	1336
346	708	1332
347	709	1328
348	710	1324
349	711	1320
